query_id,difficulty_bucket,profile_name,map_seed,query_seed,seed_index,map_index,query_index,distance_bin_key,start,goal
easy_s00_q0000,Easy,easy_d00,20260620,20261620,0,0,0,d08_12,"[6.2, 6.5, -0.40371945387959823]","[16.5, 2.1, -0.40371945387959823]"
easy_s00_q0001,Easy,easy_d01,20260620,20261621,0,0,1,d12_16,"[7.7, 26.6, -0.7807033622099531]","[18.400000000000002, 16.0, -0.7807033622099531]"
easy_s00_q0002,Easy,easy_d00,20260620,20261622,0,0,2,d16_20,"[1.8, 8.3, -0.2158360922621043]","[20.5, 4.2, -0.2158360922621043]"
easy_s00_q0003,Easy,easy_d01,20260620,20261623,0,0,3,d20_inf,"[8.0, 2.3000000000000003, 1.1402953862872711]","[18.7, 25.6, 1.1402953862872711]"
easy_s00_q0004,Easy,easy_d00,20260620,20261624,0,0,4,d08_12,"[24.900000000000002, 22.200000000000003, -1.0502154933032373]","[29.200000000000003, 14.700000000000001, -1.0502154933032373]"
easy_s00_q0005,Easy,easy_d01,20260621,20261621,0,1,0,d12_16,"[8.200000000000001, 9.8, 1.5439571355356814]","[8.6, 24.700000000000003, 1.5439571355356814]"
easy_s00_q0006,Easy,easy_d00,20260621,20261622,0,1,1,d16_20,"[23.400000000000002, 21.1, -1.51529782154918]","[24.5, 1.3, -1.51529782154918]"
easy_s00_q0007,Easy,easy_d01,20260621,20261623,0,1,2,d20_inf,"[9.3, 2.3000000000000003, 1.1726576846022427]","[19.1, 25.6, 1.1726576846022427]"
easy_s00_q0008,Easy,easy_d00,20260621,20261624,0,1,3,d08_12,"[28.0, 13.3, 2.1611742227874235]","[21.5, 23.0, 2.1611742227874235]"
easy_s00_q0009,Easy,easy_d01,20260621,20261625,0,1,4,d12_16,"[27.700000000000003, 16.6, -1.5981867352697594]","[27.3, 2.0, -1.5981867352697594]"
easy_s00_q0010,Easy,easy_d00,20260622,20261622,0,2,0,d16_20,"[2.5, 8.200000000000001, -0.4352314873073316]","[18.2, 0.9, -0.4352314873073316]"
easy_s00_q0011,Easy,easy_d01,20260622,20261623,0,2,1,d20_inf,"[6.5, 2.3000000000000003, 1.2324019829279047]","[14.700000000000001, 25.6, 1.2324019829279047]"
easy_s00_q0012,Easy,easy_d00,20260622,20261624,0,2,2,d08_12,"[22.200000000000003, 13.0, -1.1659045405098134]","[26.1, 3.9000000000000004, -1.1659045405098134]"
easy_s00_q0013,Easy,easy_d01,20260622,20261625,0,2,3,d12_16,"[27.400000000000002, 13.0, 2.5412195470768846]","[16.3, 20.6, 2.5412195470768846]"
easy_s00_q0014,Easy,easy_d00,20260622,20261626,0,2,4,d16_20,"[17.7, 3.4000000000000004, 2.6611197093972647]","[1.2000000000000002, 12.0, 2.6611197093972647]"
easy_s00_q0015,Easy,easy_d01,20260623,20261623,0,3,0,d20_inf,"[7.4, 2.3000000000000003, 1.2477587718218368]","[15.200000000000001, 25.6, 1.2477587718218368]"
easy_s00_q0016,Easy,easy_d00,20260623,20261624,0,3,1,d08_12,"[17.5, 19.3, -2.6442499372429706]","[7.0, 13.600000000000001, -2.6442499372429706]"
easy_s00_q0017,Easy,easy_d01,20260623,20261625,0,3,2,d12_16,"[13.4, 24.3, -0.6561231593493051]","[24.700000000000003, 15.600000000000001, -0.6561231593493051]"
easy_s00_q0018,Easy,easy_d00,20260623,20261626,0,3,3,d16_20,"[1.7000000000000002, 3.6, 1.6072385194043295]","[1.0, 22.8, 1.6072385194043295]"
easy_s00_q0019,Easy,easy_d01,20260623,20261627,0,3,4,d20_inf,"[12.200000000000001, 27.3, -0.9581734313897842]","[27.1, 6.1000000000000005, -0.9581734313897842]"
easy_s01_q0020,Easy,easy_d00,20270620,20271620,1,0,0,d08_12,"[7.2, 8.700000000000001, 1.0303768265243123]","[12.0, 16.7, 1.0303768265243123]"
easy_s01_q0021,Easy,easy_d01,20270620,20271621,1,0,1,d12_16,"[24.5, 14.8, 2.9113730663129496]","[11.700000000000001, 17.8, 2.9113730663129496]"
easy_s01_q0022,Easy,easy_d00,20270620,20271622,1,0,2,d16_20,"[13.700000000000001, 22.200000000000003, -1.2561630899394642]","[19.200000000000003, 5.300000000000001, -1.2561630899394642]"
easy_s01_q0023,Easy,easy_d01,20270620,20271623,1,0,3,d20_inf,"[3.3000000000000003, 25.700000000000003, -0.6016536326583256]","[23.400000000000002, 11.9, -0.6016536326583256]"
easy_s01_q0024,Easy,easy_d00,20270620,20271624,1,0,4,d08_12,"[9.8, 19.8, 0.7583777142101834]","[17.400000000000002, 27.0, 0.7583777142101834]"
easy_s01_q0025,Easy,easy_d01,20270621,20271621,1,1,0,d12_16,"[7.9, 16.1, 1.4206738407791344]","[9.700000000000001, 28.0, 1.4206738407791344]"
easy_s01_q0026,Easy,easy_d00,20270621,20271622,1,1,1,d16_20,"[28.700000000000003, 22.200000000000003, -1.7176602279725615]","[26.200000000000003, 5.300000000000001, -1.7176602279725615]"
easy_s01_q0027,Easy,easy_d01,20270621,20271623,1,1,2,d20_inf,"[27.700000000000003, 20.900000000000002, -2.781885654004837]","[4.3, 12.100000000000001, -2.781885654004837]"
easy_s01_q0028,Easy,easy_d00,20270621,20271624,1,1,3,d08_12,"[5.5, 14.5, -1.0493618870231527]","[10.9, 5.1000000000000005, -1.0493618870231527]"
easy_s01_q0029,Easy,easy_d01,20270621,20271625,1,1,4,d12_16,"[27.6, 20.200000000000003, -1.6396528160959412]","[26.6, 5.7, -1.6396528160959412]"
easy_s01_q0030,Easy,easy_d00,20270622,20271622,1,2,0,d16_20,"[26.900000000000002, 22.200000000000003, -1.7806770494559716]","[23.3, 5.300000000000001, -1.7806770494559716]"
easy_s01_q0031,Easy,easy_d01,20270622,20271623,1,2,1,d20_inf,"[24.400000000000002, 11.4, -2.8999621922369654]","[3.3000000000000003, 6.2, -2.8999621922369654]"
easy_s01_q0032,Easy,easy_d00,20270622,20271624,1,2,2,d08_12,"[8.5, 11.9, 0.3350830976907878]","[19.700000000000003, 15.8, 0.3350830976907878]"
easy_s01_q0033,Easy,easy_d01,20270622,20271625,1,2,3,d12_16,"[8.6, 9.600000000000001, 0.9420000403794636]","[16.6, 20.6, 0.9420000403794636]"
easy_s01_q0034,Easy,easy_d00,20270622,20271626,1,2,4,d16_20,"[26.400000000000002, 22.700000000000003, 2.958481836327309]","[10.200000000000001, 25.700000000000003, 2.958481836327309]"
easy_s01_q0035,Easy,easy_d01,20270623,20271623,1,3,0,d20_inf,"[1.1, 25.700000000000003, -0.4879589276350221]","[27.1, 11.9, -0.4879589276350221]"
